r1s,Cm,W1s
0.17308581757712135,50,258.63612766723287
0.14894728087978698,70,229.313399864512
0.1338815160568786,90,215.9306738436131
0.12354139241117794,110,211.90768682108902
0.11603805846540535,130,214.10522040016306
0.11040372128001187,150,220.67795470436766
0.1060868147093529,170,230.4127045064319
0.10274913395241954,190,242.47027979401346
0.10017244774132451,210,256.25768324459267
0.09821108962700992,230,271.35156857656017
0.09676608059154848,250,287.4475590329964
